case_id,input_text,label,category,outcome,sections
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 67 IT Act 2000.",,Constitutional / Writ,Disposed,"509 IPC, 509 IT Act 2000, 67 IT Act 2000"
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act.",,Constitutional / Writ,Disposed,"509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act"
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act.",,Constitutional / Writ,Disposed,"509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act"
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act.",,Constitutional / Writ,Disposed,"509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act"
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act.",,Criminal - Writ,Disposed,"509 IPC, 4 TN Harassment of Women Act, 67 IT Act 2000"
2025 INSC 284,"Having heard the learned counsel for the parties, we dispose of the present writ petition with the following directions: Investigation in Crime No. 123/2024 dated 03.05.2024 registered with the Cyber Crime Police Station, Coimbatore City, Tamil Nadu, for the offence(s) punishable under Section 509 of the Indian Penal Code, 1860, read with Section 4 of the Tamil Nadu Prohibition of Harassment of Women Act, 1998, and Section 67 of the Information Technology Act, 2000, shall continue. 18/2024 dated 06.05.2024 at PS: Sivagangai District Cyber Crime; (ix) Crime No. Recording the aforesaid, the writ petition is disposed of. Pending application(s), if any, shall stand disposed of. Sections: 509 IPC, 509 IT Act 2000, 509 TN Harassment of Women Act, 67 IT Act 2000, 4 TN Harassment of Women Act.",,Criminal - Writ,Disposed,"509 IPC, 4 TN Harassment of Women Act, 67 IT Act 2000"
2024 INSC 233,"The present appeal challenges the order dated 15th July 2022 passed by the learned Single Judge of the High Court of Judicature at Madras in Criminal O.P. FACTS Shorn of details, the facts leading to the present appeal are as under: 3.1 The case of the prosecution is that, during the year 2016, accused No. (ii) A complaint may also be quashed where it is a clear abuse of the process of the court, as when the criminal proceeding is found to have been initiated with mala fides/malice for wreaking vengeance or to cause harm, or where the allegations are absurd and inherently improbable. (iv) The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged. The FIR in Crime No.21 of 2020 and the consequential charge-sheet filed against the present appellant shall stand quashed and set aside. Pending application(s), if any, shall stand disposed of. Sections: 420 IPC, 415 IPC, 482 CrPC, 250 CrPC.",,Criminal,Disposed,"420 IPC, 415 IPC, 482 CrPC, 250 CrPC"
2024 INSC 233,"The present appeal challenges the order dated 15th July 2022 passed by the learned Single Judge of the High Court of Judicature at Madras in Criminal O.P. FACTS Shorn of details, the facts leading to the present appeal are as under: 3.1 The case of the prosecution is that, during the year 2016, accused No. (ii) A complaint may also be quashed where it is a clear abuse of the process of the court, as when the criminal proceeding is found to have been initiated with mala fides/malice for wreaking vengeance or to cause harm, or where the allegations are absurd and inherently improbable. (iv) The complaint is not required to verbatim reproduce the legal ingredients of the offence alleged. The FIR in Crime No.21 of 2020 and the consequential charge-sheet filed against the present appellant shall stand quashed and set aside. Pending application(s), if any, shall stand disposed of. Sections: 420 IPC, 415 IPC, 482 CrPC, 250 CrPC.",,Criminal,Disposed,"420 IPC, 415 IPC, 482 CrPC, 250 CrPC"
," Provide legally binding advice  Make autonomous legal decisions  Handle client-lawyer privileged communications  Generate legally enforceable documents without lawyer review 1.3 Definitions, Acronyms, and Abbreviations Term AI API BNS CORS CrPC CSRF FIR IPC JWT ML NER NLP OCR Definition Artificial Intelligence Application Programming Interface Bharatiya Nyaya Sanhita (New Indian Penal Code) Cross-Origin Resource Sharing Code of Criminal Procedure Cross-Site Request Forgery First Information Report Indian Penal Code JSON Web Token Machine Learning Named Entity Recognition Natural Language Processing Optical Character Recognition ORM RAG RBAC REST SARFAESI SHAP SRS SSL/TLS UI/UX Object-Relational Mapping Retrieval Augmented Generation Role-Based Access Control Representational State Transfer Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act SHapley Additive exPlanations Software Requirements Specification Secure Sockets Layer / Transport Layer Security User Interface / User Experience 1.4 References  Kaggle Dataset: Indian Supreme Court Judgments  URL:  Contains: 34,000+ Supreme Court judgments Django Documentation: React Documentation: Pinecone Vector Database: Sentence Transformers: 1.5 Overview This SRS document is organized as follows:  Section 2: Provides overall system description, user characteristics, constraints  Section 3: Details all functional requirements organized by feature  Section 4: Specifies external interfaces (user, hardware, software)  Section 5: Lists system requirements and technology stack  Section 6: Describes non-functional requirements (performance, security)  Section 7: Defines data requirements and sources  Section 8: Contains appendices and supplementary information Overall Description 2.1 Product Perspective Nyaya Sahayak is a new, self-contained system and a one-stop solution, designed specifically for legal professionals.",,Other,Unknown,
," Provide legally binding advice  Make autonomous legal decisions  Handle client-lawyer privileged communications  Generate legally enforceable documents without lawyer review 1.3 Definitions, Acronyms, and Abbreviations Term AI API BNS CORS CrPC CSRF FIR IPC JWT ML NER NLP OCR Definition Artificial Intelligence Application Programming Interface Bharatiya Nyaya Sanhita (New Indian Penal Code) Cross-Origin Resource Sharing Code of Criminal Procedure Cross-Site Request Forgery First Information Report Indian Penal Code JSON Web Token Machine Learning Named Entity Recognition Natural Language Processing Optical Character Recognition ORM RAG RBAC REST SARFAESI SHAP SRS SSL/TLS UI/UX Object-Relational Mapping Retrieval Augmented Generation Role-Based Access Control Representational State Transfer Securitisation and Reconstruction of Financial Assets and Enforcement of Security Interest Act SHapley Additive exPlanations Software Requirements Specification Secure Sockets Layer / Transport Layer Security User Interface / User Experience 1.4 References  Kaggle Dataset: Indian Supreme Court Judgments  URL:  Contains: 34,000+ Supreme Court judgments Django Documentation: React Documentation: Pinecone Vector Database: Sentence Transformers: 1.5 Overview This SRS document is organized as follows:  Section 2: Provides overall system description, user characteristics, constraints  Section 3: Details all functional requirements organized by feature  Section 4: Specifies external interfaces (user, hardware, software)  Section 5: Lists system requirements and technology stack  Section 6: Describes non-functional requirements (performance, security)  Section 7: Defines data requirements and sources  Section 8: Contains appendices and supplementary information Overall Description 2.1 Product Perspective Nyaya Sahayak is a new, self-contained system and a one-stop solution, designed specifically for legal professionals.",,Other,Unknown,
