input_text,label
"These appeals assail the judgment and order dated 28th February, 2018 passed by the Division Bench of the High Court of Kerala at Ernakulam in Criminal Appeal No. The Death Sentence Reference and the Criminal Appeal arose out of the judgment dated 1 Hereinafter, being referred to as D.S.R. This case has been uniformly followed and applied by this Court in a large number of later decisions up to date, for instance, the cases of Tufail (Alias) Simmi v. has laid down in Hanumant case [(1952) 2 SCC 71: AIR 1952 SC 343: 1952 SCR 1091: 1953 Cri LJ 129]: “It is well to remember that in cases where the evidence is of a circumstantial nature, the circumstances from which the conclusion of guilt is to be drawn should in the first instance be fully established, and all the facts so established should be consistent only with the hypothesis of the guilt of the accused. Consequently, the appeals lack merit and are hereby dismissed. Pending application(s), if any, shall stand disposed of Sections: 302 IPC, 376 IPC, 57 IPC, 201 IPC, 428 CrPC, 366 CrPC, 394(2) CrPC, 313 CrPC, 374(2) CrPC, 302 CrPC, 174 CrPC, 45 Evidence Act, 57 Kerala Police Act.",0
"The instant appeal by special leave preferred by the appellant takes exception to the judgment dated 1st March, 2012 passed by the Division Bench of the High Court of Calcutta in an intra-court writ appeal, whereby the Division Bench allowed the appeal filed by the respondent and set aside the order passed by the learned Single Judge. 1 Hereinafter referred to as the “appellant-Authority”. Tank (supra).” Learned Counsel submitted that the issue regarding the applicability of the judgment delivered by this Court in G.M. Learned counsel relied upon the observations made by the Division Bench of the High Court in MAT No. The same deserves to be and is hereby set aside. Pending application(s), if any, shall also stand disposed of. Sections: 34 IPC, 7 PC Act, 13(2) PC Act, 25 Evidence Act, 26 Evidence Act, 13(1)(d) PC Act.",1
"The present appeals have been preferred against the judgment and order dated 13th May, 2013 in Civil Review Petition No.118411 of 2013 in Writ Petition (C) No.9192 of 2007 and the final order and judgment dated 17th January, 2013 in Writ Petition (C) No.9192 of 2007 passed by the High Court of Judicature at Allahabad, whereby the judgment and order dated 27th August, 2004 passed by the Additional District Magistrate/Additional Collector (City), Ghaziabad, in Case No.05 of 2003-04, against the order dated 13th September, 2006 passed by the Additional Commissioner, Meerut, in Revision No.135 of 2003-04 and against the order dated 29th December, 2006 passed by the Impugned order Impugned Judgment Additional Commissioner in Review Application in Revision No.135/2003-04, was set aside. The Civil Review Petition No.118411 of 2013 preferred by the respondent herein was dismissed vide order dated 13th May, 2013. The authorities below had concurrently held that as per the revenue record, the disputed land had been shown as Johad (Pond). Further, it was held that a valid patta was never executed in favour of the respondent and that there was no record of allotment entry regarding the said patta. Second, that an order granting a permanent injunction, with the authority having given its independent and anxious consideration, cannot be set aside in such a cursory and callous manner, more so under the supervisory jurisdiction of the Court. The impugned judgment and orders dated 13th May, 2013 in Civil Review Petition No.118411 of 2013 in Writ Petition (C) No.9192 of 2007 and the final order and judgment dated 17th January, 2013 in Writ Petition (C) No.9192 of 2007 by the High Court of Judicature at Allahabad, are set aside. Sections: 198(4) UP ZA Act.",1
"This appeal challenges the judgment dated 30.04.2019 passed by the Division Bench of the High Court of Madhya Pradesh Bench at Gwalior (hereinafter referred to as “Impugned Judgment”) whereby the High Court allowed the Writ Appeal filed by the Respondents, reversing the Order of the learned Single Judge dated 26.04.2017, which quashed the chargesheet dated 29.04.2011 issued to the Appellant. As a result, the disciplinary proceedings and the chargesheet were revived. 8.1 This Court had ruled that in absence of allegations of extraneous influence, departmental proceedings should not be initiated merely because a quasi-judicial order was incorrect. 8.2 The Appellant on this basis, submits that the charges against the said officer were similar to those made against the Appellant and also the stand taken by the Respondents before the High Court, the judgment of this Court would apply in full force. In view of the above, the present appeal is allowed and the Impugned Judgment dated 30.04.2019 passed by the Division Bench of the High Court is set aside and consequently the order dated 26.04.2017 passed by the learned Single Judge stands restored. Pending application(s), if any, stand disposed of.",1
"The present appeal calls in question the correctness of the order dated 23.09.2024 passed by a Division Bench of the High Court of Punjab and Haryana at Chandigarh in CWP No. By a short order, the Division Bench rejected the claim of the appellant, a ‘person with disabilities’ and upheld the denial of his admission to the MBBS Course. There cannot be a “one size fits all” approach. The Court seized of the matter in the judicial review proceedings shall refer the case of the candidate to any premier medical institute having the facility, for an independent opinion and relief to the candidate will be granted or denied based on the opinion of the said medical institution to which the High Court had referred the matter.” The above discussion would clearly highlight why the five members of the board, in the present case, in their report incorporated the following disclaimer:- “the current NMC Guidelines perhaps need revision, and with respect to the current Guidelines, this Medical Board is not able to declare the candidate FIT to join the MBBS course.” Even otherwise, we find that the report of the five members has not set out any reasons and does not indicate as to how the functional assessment of the appellant was carried out. In view of what is held hereinabove, the appeal is allowed. Sections: 2(y) RPwD Act, 2(h) RPwD Act.",1
"Mohan Singh was killed on 06.11.2009 during the evening hours. was mentioned therein as 08:30 pm on 06.11.2009 while the time of occurrence of the offence was shown as 06:30 pm on that day. He was about 07 years of age when he deposed before the Trial Court on 24.02.2011. He started running from there and found his mother nearby. On the above analysis, the appeals are allowed, setting aside the judgment dated 25.01.2024 passed by the High Court of Madhya Pradesh at Indore in Criminal Appeal No. All the appellants shall stand acquitted of the charged offences. Sections: 302 IPC, 34 IPC, 161 CrPC.",1
"The present appeal impugns the Final Judgment and Order dated 21.02.2024 in Criminal Revision Petition No.619 of 2020 (hereinafter referred to as the ‘Impugned Order’) 1 passed by the High C o u r t o f J u d i c a t u r e a t A l l a h a b a d , L u c k n o w B e n c h ( h e r e i n a f t e r r e f e r r e d t o a s t h e 2024:AHC-LKO:15310. ‘High Court’), allowing the petition and setting aside the concurrent findings of guilt and conviction recorded against respondent no.2 (hereinafter also referred to as the ‘accused’) in the Order dated 12.04.2019 in Complaint Case No.6650/2012 passed by the Presiding Officer/Additional Court, Room No.5, Lucknow (hereinafter referred to as the ‘Trial Court’) as later upheld by the Additional Sessions Judge, Court No.1, Lucknow (hereinafter referred to as the ‘Appellate Court’) vide Order dated 23.10.2020 in Criminal Appeal No.148/2019. This sequence strengthens the statutory presumption in favour of the appellant, as it cannot be believed that a cheque having been lost on/about 12.03.2010, the respondent no.2 would intimate the police thereof only in the year 2011, moreso, when the amount involved was a princely sum of Rs.22,00,000/- (Rupees Twenty- Two Lakhs). Godfather Travels and Tours Private Limited, (2012) 5 SCC 661, where, looking to Section 141 of the Act, the Court held that if the person committing an offence is a ‘company’, a complaint against its ‘director’, without arraigning the ‘company’ as an accused would not be maintainable. Accordingly, for reasons aforesaid, the appeal is allowed. Sections: 138 NI Act.",1
"The present appeal challenges the final judgment and order dated 26th September 2024, passed by the Division Bench of the High Court of Madhya Pradesh at Jabalpur in Criminal Appeal No. 6 of 1996 filed by the Appellant herein whereby the High Court dismissed the Criminal Appeal and upheld the order of the III Additional Sessions Judge, Jabalpur 1 Hereinafter referred to as “the High Court”. The evidence of this witness is contradictory with that of Abbi s/o Manjoor Khan (PW-6). No doubt that merely a witness being an interested witness cannot be a ground for discarding his testimony. In the result, we pass the following order: (i) The appeal is allowed; (ii) The impugned judgment and order dated 26th September 2024 passed by the High Court of Madhya Pradesh at Jabalpur in Criminal Appeal No.6 of 1996 and the judgment and order dated 21st November 1995 passed by the trial court in Sessions Trial No.1023 of 1994 are quashed and set aside; (iii) The appellant is acquitted of all the charges levelled against him; and (iv) The appellant is already on bail. Pending application(s), if any, shall stands disposed of. Sections: 302 IPC, 300 IPC.",1
"The challenge in the present appeal is to the common order dated 23.09.22 in Misc. Appeal no.2181/2021 whereby the High Court of Madhya Pradesh dismissed the appeal preferred by the respondent herein (Misc. Under similar facts and circumstances, co-ordinate Bench of this Court in Om Prakash Gupta and others Vs. Chourasiya, Neurosurgeon, who was examined before the Court, admitted that claimant Atul Tiwari was in a vegetative stage. In view of the above the present appeal is allowed and disposed of accordingly. Sections: 110 MV Act.",1
"The present criminal appeal calls in question the correctness of the order dated 27.07.2023 passed by the High Court of Judicature at Allahabad in Application under Section 482 Cr.P.C. By the said order, the High Court declined to quash the proceedings instituted against the appellants under Section 306 of the Indian Penal Code, 1860 (for short ‘IPC’). 3-Haroon obtained pre-arrest bail from this Court by order dated 05.12.2023. The High Court of Judicature at Allahabad dismissed the Application under Section 482 Cr.P.C. In view of the above, the appeal is allowed. Sections: 306 IPC, 304 IPC, 302 IPC, 107 IPC, 482 CrPC, 161 CrPC.",1
